Unnamed: 0,Country,2019_Rank,2019_Score,country_code_x,2019_income_group,2019_total_gdp_million,2019_porcentaje,2020_Rank,2020_Score,2020_income_group,2020_total_gdp_million,2020_porcentaje,2021_Rank,2021_Score,2021_income_group,2021_total_gdp_million,2021_porcentaje,2022_Rank,2022_Score,2022_income_group,2022_total_gdp_million,2022_porcentaje,2023_Rank,2023_Score,2023_income_group,2023_total_gdp_million,2023_porcentaje,2024_Rank,2024_Score,country_code_y,country_code
74,Iraq,156.0,47.4,IRQ,Ingreso Mediano Alto,233636.097800338,0.11,162.0,44.63,Ingreso Mediano Alto,180898.797516874,0.08,163.0,44.43,Ingreso Mediano Alto,209691.945713103,0.09,172.0,28.59,Ingreso Mediano Alto,286640.34096551704,0.11,167.0,32.94,Ingreso Mediano Alto,250842.782139464,0.09,169.0,25.48,IRQ,IRQ
75,Ireland,15.0,85.0,IRL,Ingreso Alto,407124.824064995,0.19,13.0,87.4,Ingreso Alto,436555.518400451,0.2,12.0,88.09,Ingreso Alto,531306.516907984,0.22,6.0,88.3,Ingreso Alto,548570.250341987,0.21,2.0,89.91,Ingreso Alto,551394.889339778,0.2,8.0,85.59,IRL,IRL
76,Israel,88.0,69.2,ISR,Ingreso Alto,399651.06519787095,0.19,88.0,69.16,Ingreso Alto,411728.563086632,0.19,86.0,69.1,Ingreso Alto,489708.27889305295,0.21,86.0,59.62,Ingreso Alto,525000.4152766779,0.2,97.0,57.57,Ingreso Alto,513611.100815691,0.19,101.0,53.23,ISR,ISR
77,Italy,43.0,75.02,ITA,Ingreso Alto,2019606.79658353,0.94,41.0,76.31,Ingreso Alto,1907481.09407923,0.89,41.0,76.61,Ingreso Alto,2179207.7735960903,0.92,58.0,68.16,Ingreso Alto,2102995.94272044,0.81,41.0,72.05,Ingreso Alto,2300941.15299181,0.83,46.0,69.8,ITA,ITA
78,Ivory Coast,71.0,70.48,,,,,68.0,71.06,,,,66.0,71.13,,,,37.0,74.46,,,,54.0,68.83,,,,53.0,66.89,,
79,Jamaica,8.0,88.87,JAM,Ingreso Mediano Alto,15830.7665707266,0.01,6.0,89.49,Ingreso Mediano Alto,13812.4218034084,0.01,7.0,90.04,Ingreso Mediano Alto,14657.5861270331,0.01,12.0,83.35,Ingreso Mediano Alto,17097.7607239201,0.01,32.0,75.89,Ingreso Mediano Alto,19423.3554092316,0.01,24.0,77.3,JAM,JAM
80,Japan,67.0,70.64,JPN,Ingreso Alto,5117993.85301651,2.38,66.0,71.14,Ingreso Alto,5055587.09350159,2.37,67.0,71.12,Ingreso Alto,5034620.78458498,2.13,71.0,64.37,Ingreso Alto,4256410.76072375,1.64,68.0,63.95,Ingreso Alto,4204494.80243155,1.52,70.0,62.12,JPN,JPN
81,Jordan,130.0,56.89,JOR,Países De Ingreso Mediano Bajo,44503.0063380282,0.02,128.0,57.92,Países De Ingreso Mediano Bajo,43700.3830985916,0.02,129.0,57.11,Países De Ingreso Mediano Bajo,46296.1001408451,0.02,120.0,48.66,Países De Ingreso Mediano Bajo,48764.9633802817,0.02,146.0,42.79,Países De Ingreso Mediano Bajo,50967.4753521127,0.02,132.0,44.3,JOR,JOR
82,Kazakhstan,158.0,47.18,KAZ,Ingreso Mediano Alto,181667.184854501,0.08,157.0,45.89,Ingreso Mediano Alto,171082.365861423,0.08,155.0,49.72,Ingreso Mediano Alto,197112.255360612,0.08,122.0,48.28,Ingreso Mediano Alto,225496.328925494,0.09,134.0,45.87,Ingreso Mediano Alto,262641.892078524,0.09,142.0,41.11,KAZ,KAZ
83,Kenya,100.0,67.56,KEN,Países De Ingreso Mediano Bajo,100378.436207371,0.05,103.0,66.28,Países De Ingreso Mediano Bajo,100657.505750545,0.05,102.0,66.35,Países De Ingreso Mediano Bajo,109703.658904994,0.05,69.0,64.59,Países De Ingreso Mediano Bajo,114448.978152637,0.04,116.0,51.15,Países De Ingreso Mediano Bajo,108038.588970595,0.04,102.0,53.22,KEN,KEN
84,Kosovo,75.0,70.32,,,,,70.0,70.67,,,,78.0,69.68,,,,61.0,67.0,,,,56.0,68.38,,,,75.0,60.19,,
85,Kuwait,108.0,66.14,KWT,Ingreso Alto,140856.39487001998,0.07,109.0,65.7,Ingreso Alto,111045.470461207,0.05,105.0,65.64,Ingreso Alto,148459.291453471,0.06,158.0,37.87,Ingreso Alto,183940.21506517095,0.07,154.0,38.84,Ingreso Alto,163704.87887585,0.06,131.0,44.66,KWT,KWT
86,Kyrgyzstan,83.0,70.08,KGZ,Países De Ingreso Mediano Bajo,9371.27526436735,0.0,82.0,69.81,Países De Ingreso Mediano Bajo,8270.46861424051,0.0,79.0,69.63,Países De Ingreso Mediano Bajo,9249.13394626531,0.0,72.0,64.25,Países De Ingreso Mediano Bajo,12134.9310179465,0.0,122.0,49.91,Países De Ingreso Mediano Bajo,13987.6279088381,0.01,120.0,49.11,KGZ,KGZ
87,Laos,171.0,35.51,,,,,172.0,35.72,,,,172.0,29.44,,,,161.0,36.64,,,,160.0,36.66,,,,153.0,33.76,,
88,Latvia,24.0,80.47,LVA,Ingreso Alto,33099.503950847,0.02,22.0,81.44,Ingreso Alto,33379.927434614896,0.02,22.0,80.74,Ingreso Alto,38185.1257329451,0.02,22.0,79.17,Ingreso Alto,38018.905782397,0.01,16.0,83.27,Ingreso Alto,42247.850064512495,0.02,12.0,82.9,LVA,LVA
89,Lebanon,101.0,67.56,LBN,Países De Ingreso Mediano Bajo,51605.9591312741,0.02,102.0,66.81,Países De Ingreso Mediano Bajo,31712.1282537961,0.01,107.0,65.07,Países De Ingreso Mediano Bajo,23131.941556784303,0.01,130.0,46.58,Países De Ingreso Mediano Bajo,20992.4219488081,0.01,119.0,50.46,Países De Ingreso Mediano Bajo,0.0,0.0,140.0,41.91,LBN,LBN
90,Lesotho,78.0,70.26,LSO,Países De Ingreso Mediano Bajo,2390.7022958277703,0.0,86.0,69.55,Países De Ingreso Mediano Bajo,2053.69987007191,0.0,88.0,68.3,Países De Ingreso Mediano Bajo,2412.1300565585098,0.0,88.0,59.39,Países De Ingreso Mediano Bajo,2354.6830887199503,0.0,67.0,64.29,Países De Ingreso Mediano Bajo,2117.96245079469,0.0,122.0,48.92,LSO,LSO
91,Liberia,93.0,68.51,LBR,Países De Ingreso Bajo,3319.5965,0.0,95.0,67.75,Países De Ingreso Bajo,3176.1263,0.0,98.0,66.64,Países De Ingreso Bajo,3513.0495,0.0,75.0,62.77,Países De Ingreso Bajo,4001.047,0.0,66.0,64.34,Países De Ingreso Bajo,4240.0,0.0,60.0,65.13,LBR,LBR
92,Libya,162.0,44.23,LBY,Ingreso Mediano Alto,69254.4964716938,0.03,164.0,44.23,Ingreso Mediano Alto,46854.285440642,0.02,165.0,44.27,Ingreso Mediano Alto,35217.9956472862,0.01,143.0,43.16,Ingreso Mediano Alto,43246.2979218499,0.02,149.0,40.22,Ingreso Mediano Alto,45096.4629724014,0.02,143.0,40.59,LBY,LBY
93,Liechtenstein,26.0,79.51,LIE,Ingreso Alto,6436.46700711932,0.0,24.0,80.48,Ingreso Alto,6405.870210322931,0.0,23.0,80.51,Ingreso Alto,7710.38008592257,0.0,10.0,84.03,Ingreso Alto,7361.50443219331,0.0,11.0,84.47,Ingreso Alto,0.0,0.0,15.0,81.52,LIE,LIE
94,Lithuania,30.0,77.94,LTU,Ingreso Alto,55122.066225796,0.03,28.0,78.81,Ingreso Alto,57412.0385332718,0.03,28.0,79.95,Ingreso Alto,67037.3210089679,0.03,9.0,84.14,Ingreso Alto,71033.88449978239,0.03,7.0,86.79,Ingreso Alto,79789.8774161681,0.03,13.0,81.73,LTU,LTU
95,Luxembourg,17.0,84.34,LUX,Ingreso Alto,69890.50532358419,0.03,17.0,84.54,Ingreso Alto,73699.36670021339,0.03,20.0,82.44,Ingreso Alto,85584.1059938746,0.04,21.0,79.81,Ingreso Alto,81641.8078657591,0.03,20.0,81.98,Ingreso Alto,85755.00612359759,0.03,11.0,83.8,LUX,LUX
96,Madagascar,54.0,72.24,MDG,Países De Ingreso Bajo,14104.6646785063,0.01,54.0,72.32,Países De Ingreso Bajo,13051.4412039474,0.01,57.0,71.76,Países De Ingreso Bajo,14554.7541165427,0.01,98.0,58.02,Países De Ingreso Bajo,15134.7002030497,0.01,101.0,56.66,Países De Ingreso Bajo,15790.1132467478,0.01,100.0,54.07,MDG,MDG
97,Malawi,68.0,70.64,MWI,Países De Ingreso Bajo,11051.8655798121,0.01,69.0,70.68,Países De Ingreso Bajo,11769.3135978545,0.01,62.0,71.2,Países De Ingreso Bajo,12378.1297509872,0.01,80.0,61.4,Países De Ingreso Bajo,12429.060150742,0.0,82.0,60.34,Países De Ingreso Bajo,12712.1500820792,0.0,63.0,64.46,MWI,MWI
98,Malaysia,123.0,63.26,MYS,Ingreso Mediano Alto,365177.721021516,0.17,101.0,66.88,Ingreso Mediano Alto,337456.163961211,0.16,119.0,60.53,Ingreso Mediano Alto,373784.823672946,0.16,113.0,51.55,Ingreso Mediano Alto,407605.841348235,0.16,73.0,62.83,Ingreso Mediano Alto,399705.169318477,0.14,107.0,52.07,MYS,MYS
99,Maldives,98.0,67.84,MDV,Ingreso Mediano Alto,5726.094799377091,0.0,79.0,70.07,Ingreso Mediano Alto,3712.6045833666494,0.0,72.0,70.87,Ingreso Mediano Alto,5252.45736955218,0.0,87.0,59.55,Ingreso Mediano Alto,6177.11811394637,0.0,100.0,56.93,Ingreso Mediano Alto,6590.8943019579,0.0,106.0,52.36,MDV,MDV
100,Mali,112.0,64.77,MLI,Países De Ingreso Bajo,17280.2508100321,0.01,108.0,65.88,Países De Ingreso Bajo,17465.3927643706,0.01,99.0,66.5,Países De Ingreso Bajo,19309.4635080377,0.01,111.0,54.48,Países De Ingreso Bajo,18780.3222037584,0.01,113.0,52.29,Países De Ingreso Bajo,20661.7945960873,0.01,114.0,50.56,MLI,MLI
101,Malta,77.0,70.26,MLT,Ingreso Alto,16337.7935307788,0.01,81.0,69.84,Ingreso Alto,16385.9195356742,0.01,81.0,69.54,Ingreso Alto,19718.565605433,0.01,78.0,61.55,Ingreso Alto,19209.9799752323,0.01,84.0,59.76,Ingreso Alto,22328.640241555306,0.01,73.0,60.96,MLT,MLT
102,Mauritania,94.0,68.35,MRT,Países De Ingreso Mediano Bajo,7894.76488582312,0.0,97.0,67.46,Países De Ingreso Mediano Bajo,8260.75238523089,0.0,94.0,67.75,Países De Ingreso Mediano Bajo,9222.53636401272,0.0,97.0,58.1,Países De Ingreso Mediano Bajo,9557.966698253693,0.0,86.0,59.45,Países De Ingreso Mediano Bajo,10651.7094114594,0.0,33.0,74.2,MRT,MRT
103,Mauritius,58.0,71.54,MUS,Ingreso Mediano Alto,14436.3469796355,0.01,56.0,72.0,Ingreso Mediano Alto,11408.1064463144,0.01,61.0,71.26,Ingreso Mediano Alto,11484.3488578529,0.0,64.0,66.07,Ingreso Mediano Alto,12927.9792860453,0.0,63.0,65.56,Ingreso Mediano Alto,14644.5248190054,0.01,57.0,65.55,MUS,MUS
104,Mexico,144.0,53.22,MEX,Ingreso Mediano Alto,1304106.2036948102,0.61,143.0,54.55,Ingreso Mediano Alto,1121064.76726188,0.52,143.0,53.29,Ingreso Mediano Alto,1316569.46693259,0.56,127.0,47.57,Ingreso Mediano Alto,1464312.69233158,0.56,128.0,47.98,Ingreso Mediano Alto,1789114.43484346,0.65,121.0,49.01,MEX,MEX
105,Moldova,91.0,68.79,,,,,91.0,68.84,,,,89.0,68.39,,,,40.0,73.47,,,,28.0,77.62,,,,31.0,74.86,,
106,Mongolia,70.0,70.49,MNG,Ingreso Mediano Alto,14206.3590175143,0.01,73.0,70.39,Ingreso Mediano Alto,13312.9814290891,0.01,68.0,71.03,Ingreso Mediano Alto,15286.4417376686,0.01,90.0,59.17,Ingreso Mediano Alto,17146.471713748,0.01,88.0,59.33,Ingreso Mediano Alto,20325.1213939074,0.01,109.0,51.34,MNG,MNG
107,Montenegro,104.0,67.26,MNE,Ingreso Mediano Alto,5542.05418112616,0.0,105.0,66.17,Ingreso Mediano Alto,4769.99686600758,0.0,104.0,65.67,Ingreso Mediano Alto,5861.427505124931,0.0,63.0,66.54,Ingreso Mediano Alto,6229.80158079157,0.0,39.0,74.28,Ingreso Mediano Alto,7530.59337522034,0.0,40.0,73.21,MNE,MNE
108,Morocco,135.0,56.02,MAR,Países De Ingreso Mediano Bajo,128920.266409458,0.06,133.0,57.12,Países De Ingreso Mediano Bajo,121353.645057144,0.06,136.0,56.06,Países De Ingreso Mediano Bajo,142022.058447231,0.06,135.0,45.42,Países De Ingreso Mediano Bajo,130951.926351241,0.05,144.0,43.69,Países De Ingreso Mediano Bajo,144417.103249646,0.05,129.0,45.97,MAR,MAR
109,Mozambique,103.0,67.34,MOZ,Países De Ingreso Bajo,15512.759046672,0.01,104.0,66.21,Países De Ingreso Bajo,14235.4201741884,0.01,108.0,64.61,Países De Ingreso Bajo,16168.0554754449,0.01,116.0,49.89,Países De Ingreso Bajo,18883.5285813734,0.01,102.0,56.13,Países De Ingreso Bajo,20954.220983547297,0.01,105.0,52.42,MOZ,MOZ
110,Myanmar,138.0,55.08,MMR,Países De Ingreso Mediano Bajo,75065.10622768919,0.03,139.0,55.23,Países De Ingreso Mediano Bajo,79006.11364319059,0.04,140.0,53.86,Países De Ingreso Mediano Bajo,66345.2911601683,0.03,176.0,25.03,Países De Ingreso Mediano Bajo,62253.0498916449,0.02,173.0,28.26,Países De Ingreso Mediano Bajo,66757.619,0.02,171.0,24.41,MMR,MMR
111,Namibia,23.0,81.05,NAM,Ingreso Mediano Alto,12541.92830348,0.01,23.0,80.75,Ingreso Mediano Alto,10583.748541525802,0.0,24.0,80.28,Ingreso Mediano Alto,12402.4861836396,0.01,18.0,81.84,Ingreso Mediano Alto,12567.2710046761,0.0,22.0,80.91,Ingreso Mediano Alto,12351.0250669131,0.0,34.0,74.16,NAM,NAM
112,Nepal,106.0,66.6,NPL,Países De Ingreso Mediano Bajo,34186.1806990255,0.02,112.0,64.9,Países De Ingreso Mediano Bajo,33433.659301246604,0.02,106.0,65.38,Países De Ingreso Mediano Bajo,36924.8413942605,0.02,76.0,62.67,Países De Ingreso Mediano Bajo,41182.93960067,0.02,95.0,57.89,Países De Ingreso Mediano Bajo,40908.0733668455,0.01,74.0,60.52,NPL,NPL
113,Netherlands,4.0,91.37,NLD,Ingreso Alto,928903.005576469,0.43,5.0,90.04,Ingreso Alto,932560.86170117,0.44,6.0,90.33,Ingreso Alto,1054472.1234496,0.45,28.0,77.93,Ingreso Alto,1046540.79754864,0.4,6.0,87.0,Ingreso Alto,1154361.30539806,0.42,4.0,87.73,NLD,NLD
114,New Zealand,7.0,89.25,NZL,Ingreso Alto,212846.907683439,0.1,9.0,89.31,Ingreso Alto,212697.53089756,0.1,8.0,89.96,Ingreso Alto,253644.079784977,0.11,11.0,83.54,Ingreso Alto,246733.522841353,0.09,13.0,84.23,Ingreso Alto,252175.506110168,0.09,19.0,79.72,NZL,NZL
115,Nicaragua,114.0,64.47,NIC,Países De Ingreso Mediano Bajo,12699.028889666,0.01,117.0,64.19,Países De Ingreso Mediano Bajo,12681.5692542815,0.01,121.0,60.02,Países De Ingreso Mediano Bajo,14144.0608531362,0.01,160.0,37.09,Países De Ingreso Mediano Bajo,15649.8971168965,0.01,158.0,37.09,Países De Ingreso Mediano Bajo,17829.2182193591,0.01,163.0,29.2,NIC,NIC
116,Niger,66.0,70.74,NER,Países De Ingreso Bajo,12889.5555612299,0.01,57.0,71.75,Países De Ingreso Bajo,13744.653103058,0.01,59.0,71.56,Países De Ingreso Bajo,14915.002436069,0.01,59.0,67.8,Países De Ingreso Bajo,15433.8527122963,0.01,61.0,66.84,Países De Ingreso Bajo,16819.1704205653,0.01,80.0,59.71,NER,NER
117,Nigeria,120.0,63.5,NGA,Países De Ingreso Mediano Bajo,474517.490844461,0.22,115.0,64.37,Países De Ingreso Mediano Bajo,432198.898467795,0.2,120.0,60.31,Países De Ingreso Mediano Bajo,440833.63587382704,0.19,129.0,46.79,Países De Ingreso Mediano Bajo,477403.400101174,0.18,123.0,49.56,Países De Ingreso Mediano Bajo,363846.332834618,0.13,112.0,51.03,NGA,NGA
118,North Korea,179.0,16.6,,,,,180.0,14.18,,,,179.0,18.72,,,,180.0,13.92,,,,180.0,21.72,,,,177.0,20.66,,
119,North Macedonia,95.0,68.34,MKD,Ingreso Mediano Alto,12606.338448547,0.01,92.0,68.72,Ingreso Mediano Alto,12361.0369138409,0.01,90.0,68.33,Ingreso Mediano Alto,14000.2838270154,0.01,57.0,68.44,Ingreso Mediano Alto,13932.4365500883,0.01,38.0,74.35,Ingreso Mediano Alto,15763.621848115,0.01,36.0,73.78,MKD,MKD
120,Northern Cyprus,74.0,70.33,,,,,77.0,70.21,,,,76.0,70.18,,,,81.0,61.08,,,,76.0,61.73,,,,90.0,56.72,,
121,Norway,1.0,92.18,NOR,Ingreso Alto,408742.840909091,0.19,1.0,92.16,Ingreso Alto,367633.418886627,0.17,1.0,93.28,Ingreso Alto,503367.986030268,0.21,1.0,92.65,Ingreso Alto,593726.965415619,0.23,1.0,95.18,Ingreso Alto,485310.823603662,0.18,1.0,91.89,NOR,NOR
122,Oman,132.0,56.58,OMN,Ingreso Alto,88060.8582574772,0.04,135.0,56.58,Ingreso Alto,75909.4928478544,0.04,133.0,56.63,Ingreso Alto,87323.7971391417,0.04,163.0,35.99,Ingreso Alto,111943.823146944,0.04,155.0,37.87,Ingreso Alto,108810.923276983,0.04,137.0,42.52,OMN,OMN
123,Pakistan,142.0,54.17,PAK,Países De Ingreso Mediano Bajo,320909.47277066903,0.15,145.0,54.48,Países De Ingreso Mediano Bajo,300425.609817981,0.14,145.0,53.14,Países De Ingreso Mediano Bajo,348516.64744514803,0.15,157.0,37.99,Países De Ingreso Mediano Bajo,374890.29566669394,0.14,150.0,39.95,Países De Ingreso Mediano Bajo,337912.301397727,0.12,152.0,33.9,PAK,PAK
124,Palestine,137.0,55.32,,,,,137.0,55.91,,,,132.0,56.82,,,,170.0,28.98,,,,156.0,37.86,,,,157.0,31.92,,
125,Panama,79.0,70.22,PAN,Ingreso Alto,69778.9912,0.03,76.0,70.22,Ingreso Alto,57059.8465,0.03,77.0,70.06,Ingreso Alto,67396.3925,0.03,74.0,62.78,Ingreso Alto,76276.1167,0.03,69.0,63.67,Ingreso Alto,83318.1769,0.03,83.0,58.55,PAN,PAN
126,Papua New Guinea,38.0,75.3,PNG,Países De Ingreso Mediano Bajo,24750.626040591706,0.01,46.0,76.07,Países De Ingreso Mediano Bajo,23848.4478497467,0.01,47.0,75.12,Países De Ingreso Mediano Bajo,26109.413522308103,0.01,62.0,66.66,Países De Ingreso Mediano Bajo,31647.2777673976,0.01,59.0,67.62,Países De Ingreso Mediano Bajo,30729.2429194411,0.01,91.0,56.02,PNG,PNG
127,Paraguay,99.0,67.6,PRY,Ingreso Mediano Alto,37925.3383291494,0.02,100.0,67.03,Ingreso Mediano Alto,35432.1780681814,0.02,100.0,66.48,Ingreso Mediano Alto,39950.8999387482,0.02,96.0,58.36,Ingreso Mediano Alto,41952.9108580846,0.02,103.0,55.96,Ingreso Mediano Alto,42956.2635439482,0.02,115.0,50.48,PRY,PRY
128,Peru,85.0,69.78,PER,Ingreso Mediano Alto,228346.006003648,0.11,90.0,69.06,Ingreso Mediano Alto,201409.694755934,0.09,91.0,68.29,Ingreso Mediano Alto,226354.27828088505,0.1,77.0,61.75,Ingreso Mediano Alto,246488.757636211,0.09,110.0,52.74,Ingreso Mediano Alto,267603.248655253,0.1,125.0,47.76,PER,PER
129,Philippines,134.0,56.09,PHL,Países De Ingreso Mediano Bajo,376823.402244928,0.17,136.0,56.46,Países De Ingreso Mediano Bajo,361751.145451597,0.17,138.0,54.36,Países De Ingreso Mediano Bajo,394087.35984811,0.17,147.0,41.84,Países De Ingreso Mediano Bajo,404353.369604631,0.16,132.0,46.21,Países De Ingreso Mediano Bajo,437146.372729942,0.16,134.0,43.36,PHL,PHL
130,Poland,59.0,71.11,POL,Ingreso Alto,602683.77014488,0.28,62.0,71.35,Ingreso Alto,605914.2379037419,0.28,64.0,71.16,Ingreso Alto,689170.23066535,0.29,66.0,65.64,Ingreso Alto,695607.470875276,0.27,57.0,67.66,Ingreso Alto,809200.6977970881,0.29,47.0,69.17,POL,POL
131,Portugal,12.0,87.37,PRT,Ingreso Alto,240115.97006301905,0.11,10.0,88.17,Ingreso Alto,229618.77342257695,0.11,9.0,89.89,Ingreso Alto,256055.879091139,0.11,7.0,87.07,Ingreso Alto,256898.675068927,0.1,9.0,84.6,Ingreso Alto,289114.289663542,0.1,7.0,85.9,PRT,PRT
132,Qatar,128.0,57.49,QAT,Ingreso Alto,176371.267689082,0.08,129.0,57.49,Ingreso Alto,144411.36334527,0.07,128.0,57.4,Ingreso Alto,179732.009554846,0.08,119.0,49.03,Ingreso Alto,235709.325708341,0.09,105.0,55.28,Ingreso Alto,213002.809330267,0.08,84.0,58.48,QAT,QAT
133,Romania,47.0,74.33,ROU,Ingreso Alto,251677.08253449496,0.12,48.0,74.09,Ingreso Alto,252033.792712145,0.12,48.0,75.09,Ingreso Alto,286578.196368297,0.12,56.0,68.46,Ingreso Alto,296354.358293475,0.11,53.0,69.04,Ingreso Alto,350775.85641518905,0.13,49.0,68.45,ROU,ROU
134,Russia,149.0,49.69,,,,,149.0,51.08,,,,150.0,51.29,,,,155.0,38.82,,,,164.0,34.77,,,,162.0,29.86,,
135,Rwanda,155.0,47.57,RWA,Países De Ingreso Bajo,10349.30038033,0.0,155.0,49.66,Países De Ingreso Bajo,10174.3873743478,0.0,156.0,49.34,Países De Ingreso Bajo,11069.280649645902,0.0,136.0,45.18,Países De Ingreso Bajo,13316.1608950447,0.01,131.0,46.58,Países De Ingreso Bajo,14097.7684721883,0.01,144.0,40.54,RWA,RWA
136,Samoa,22.0,81.75,WSM,Países De Ingreso Mediano Bajo,912.950466064906,0.0,21.0,81.75,Países De Ingreso Mediano Bajo,868.8983582664371,0.0,21.0,80.76,Países De Ingreso Mediano Bajo,843.923638733018,0.0,45.0,71.39,Países De Ingreso Mediano Bajo,832.9452056371849,0.0,19.0,82.15,Países De Ingreso Mediano Bajo,938.189443830393,0.0,22.0,78.41,WSM,WSM
137,Saudi Arabia,172.0,34.12,SAU,Ingreso Alto,838564.8,0.39,170.0,37.86,Ingreso Alto,734271.2,0.34,170.0,37.27,Ingreso Alto,874156.0,0.37,166.0,33.71,Ingreso Alto,1108571.4666666698,0.43,170.0,32.43,Ingreso Alto,1067582.93333333,0.39,166.0,27.14,SAU,SAU
138,Senegal,49.0,74.19,SEN,Países De Ingreso Mediano Bajo,23403.9959921354,0.01,47.0,76.01,Países De Ingreso Mediano Bajo,24530.5130377518,0.01,49.0,74.78,Países De Ingreso Mediano Bajo,27520.7841297508,0.01,73.0,63.07,Países De Ingreso Mediano Bajo,27619.4790596131,0.01,104.0,55.82,Países De Ingreso Mediano Bajo,30848.3330837055,0.01,94.0,55.44,SEN,SEN
139,Serbia,90.0,68.82,SRB,Ingreso Mediano Alto,53864.6936645568,0.03,93.0,68.38,Ingreso Mediano Alto,55874.017668998,0.03,93.0,67.97,Ingreso Mediano Alto,66159.8840725308,0.03,79.0,61.51,Ingreso Mediano Alto,66797.564758339,0.03,91.0,59.16,Ingreso Mediano Alto,81342.6607523732,0.03,98.0,54.48,SRB,SRB
140,Seychelles,69.0,70.59,SYC,Ingreso Alto,1868.69009673454,0.0,63.0,71.34,Ingreso Alto,1382.55175156908,0.0,52.0,74.34,Ingreso Alto,1487.17379480528,0.0,13.0,83.33,Ingreso Alto,2057.96851983091,0.0,34.0,75.71,Ingreso Alto,2141.45017113932,0.0,37.0,73.75,SYC,SYC
141,Sierra Leone,86.0,69.64,SLE,Países De Ingreso Bajo,6523.57759038319,0.0,85.0,69.72,Países De Ingreso Bajo,6688.59475762129,0.0,75.0,70.39,Países De Ingreso Bajo,7165.21436764956,0.0,46.0,71.03,Países De Ingreso Bajo,7119.13732190082,0.0,74.0,62.55,Países De Ingreso Bajo,6411.86954628929,0.0,64.0,64.27,SLE,SLE
142,Singapore,151.0,48.59,SGP,Ingreso Alto,376901.649222451,0.17,158.0,44.77,Ingreso Alto,349488.382610662,0.16,160.0,44.8,Ingreso Alto,434111.559282849,0.18,139.0,44.23,Ingreso Alto,498474.54098778,0.19,129.0,47.88,Ingreso Alto,501427.5000800591,0.18,126.0,47.19,SGP,SGP
143,Slovakia,35.0,76.42,SVK,Ingreso Alto,105843.498304094,0.05,33.0,77.33,Ingreso Alto,107732.602896441,0.05,35.0,76.98,Ingreso Alto,120592.216208386,0.05,27.0,78.37,Ingreso Alto,115928.615553286,0.04,17.0,83.22,Ingreso Alto,132908.33623429498,0.05,29.0,76.03,SVK,SVK
144,Slovenia,34.0,77.69,SVN,Ingreso Alto,53909.922735545,0.03,32.0,77.36,Ingreso Alto,53384.760135158096,0.02,36.0,76.9,Ingreso Alto,61529.280461092,0.03,54.0,68.54,Ingreso Alto,59927.7027462843,0.02,50.0,70.59,Ingreso Alto,69148.46841732081,0.02,42.0,72.6,SVN,SVN
145,Somalia,164.0,42.76,SOM,Países De Ingreso Bajo,8655.023960002001,0.0,163.0,44.55,Países De Ingreso Bajo,8628.39371999922,0.0,161.0,44.53,Países De Ingreso Bajo,9483.99740425227,0.0,140.0,44.01,Países De Ingreso Bajo,10202.7672699603,0.0,141.0,44.24,Países De Ingreso Bajo,10968.5170900004,0.0,145.0,39.4,SOM,SOM
146,South Africa,31.0,77.81,ZAF,Ingreso Mediano Alto,389330.032224269,0.18,31.0,77.59,Ingreso Mediano Alto,337974.655408055,0.16,32.0,78.41,Ingreso Mediano Alto,420886.877628703,0.18,35.0,75.56,Ingreso Mediano Alto,406920.004594074,0.16,25.0,78.6,Ingreso Mediano Alto,380699.271814508,0.14,38.0,73.73,ZAF,ZAF
147,South Korea,41.0,75.06,,,,,42.0,76.3,,,,42.0,76.57,,,,43.0,72.11,,,,47.0,70.83,,,,62.0,64.87,,
148,South Sudan,139.0,54.35,SSD,Países De Ingreso Bajo,0.0,0.0,138.0,55.51,Países De Ingreso Bajo,0.0,0.0,139.0,54.22,Países De Ingreso Bajo,0.0,0.0,128.0,47.06,Países De Ingreso Bajo,0.0,0.0,118.0,50.62,Países De Ingreso Bajo,0.0,0.0,136.0,42.57,SSD,SSD
149,Spain,29.0,78.01,ESP,Ingreso Alto,1403496.38768627,0.65,29.0,77.84,Ingreso Alto,1289783.83697121,0.6,29.0,79.56,Ingreso Alto,1461244.90185269,0.62,32.0,76.71,Ingreso Alto,1446498.14774903,0.56,36.0,75.37,Ingreso Alto,1620090.73495689,0.58,30.0,76.01,ESP,ESP
150,Sri Lanka,126.0,60.39,LKA,Países De Ingreso Mediano Bajo,89014.9783441404,0.04,127.0,58.06,Países De Ingreso Mediano Bajo,84304.2987705329,0.04,127.0,57.8,Países De Ingreso Mediano Bajo,88609.32490197741,0.04,146.0,42.13,Países De Ingreso Mediano Bajo,74144.87002342439,0.03,135.0,45.85,Países De Ingreso Mediano Bajo,84356.8637436335,0.03,150.0,35.21,LKA,LKA
151,Sudan,175.0,27.55,SDN,Países De Ingreso Bajo,32338.0791652893,0.02,159.0,44.67,Países De Ingreso Bajo,27034.59375,0.01,159.0,47.07,Países De Ingreso Bajo,34229.5137749936,0.01,151.0,40.96,Países De Ingreso Bajo,51666.8753630963,0.02,148.0,40.83,Países De Ingreso Bajo,109265.503110904,0.04,149.0,35.73,SDN,SDN
